genre,executor,song,duration,album,year_album,collection,year_collection
Rock,Arctic Monkeys,I Wanna Be Yours,184,AM,2013,col_1,2021
Trailer Music,Audiomachine,Paramount,205,Ascendance,2018,col_1,2021
Trailer Music,Audiomachine,Open Your Eyes,150,La Belle Époque,2018,col_2,2021
Soundtrack,Brian Tyler,Wish You Were Here,96,Avengers: Age of Ultron,2015,col_2,2021
Hip-Hop,Bushido,Fotzen,196,Sonny Black,2014,col_3,2020
Syth/Pop,Depeche Mode,I feel you,277,Super Hits Collection,2015,col_3,2020
Hip-Hop,Eminem,Venom,269,Kamikaze,2018,col_4,2020
Post_rock,God is Astronaut,Spiral Code,253,Origins,2013,col_4,2020
Instrumental,Instrumental Core,Heavenly Gates,284,Dubstep,2012,col_5,2016
Alternative,Linkin Park,Numb,187,Meteora,2013,col_5,2016
Alternative,Linkin Park,In The End,206,Hybrid Theory,2013,col_6,2017
Classical,Ludovico Einaudi,Run,332,In A Time Lapse,2013,col_6,2017
Electronic,Parov Stelar,Gin Tonic,198,The Demon Diaries,2015,col_7,2021
Industrial,Rammstein,Los,265,Greatest Hits,2012,col_7,2021
Rock,The Beatles,I Want to Hold Your Hand,144,Greatest Hits,2000,col_8,2020
